datetime,portfolio_value,cash,positions,return
2022-07-22 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-23 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-24 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-25 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-26 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-27 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-28 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-29 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-30 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-31 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-01 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-02 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-03 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-04 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-05 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-06 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-07 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-08 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-09 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-10 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-11 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-12 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-13 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-14 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-15 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-16 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-17 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-18 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-19 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-20 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-21 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-22 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-23 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-24 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-25 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-26 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-27 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-28 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-29 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-30 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-08-31 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-01 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-02 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-03 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-04 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-05 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-06 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-07 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-09-08 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
